"grant_id","parent_grant_id","grant_name","grant_code","system_block"
1418,1415,"Редактирование материлов сметного отдела","OA__MaterialSmetniyUpd","MySpace"
1419,1415,"Редактирование лимитов материала","OA__MaterialSmetniyThreshold","MySpace"
1420,1408,"Материалы конструктора","OA__MaterialConstructor","MySpace"
1421,1420,"Показать материалы конструктора","OA__MaterialConstructorShow","MySpace"
1422,1420,"Получить материалы конструктора","OA__MaterialConstructorGet","MySpace"
1423,1420,"Редактирование материалов конструктора","OA__MaterialConstructorUpd","MySpace"
1424,1420,"Редактирование Фотографий по комнатам","OA__MaterialRoomPictureUpd","MySpace"
1425,1420,"Редактирование Описание для кухни","OA__MaterialKitchenUpd","MySpace"
1426,1420,"Редактирование Доп фото материала","OA__MaterialPhotoUpd","MySpace"
1427,1420,"Редактировать свойства материала","OA__MaterialPropUpd","MySpace"
1428,1392,"Показать информацию схемы","OA__FloorMapGetInfo","MySpace"
1429,1392,"Добавить схему","OA__FloorMapAdd","MySpace"
1430,1392,"Редактировать схему","OA__FloorMapEdit","MySpace"
1431,1392,"Удалить линию","OA__FloorMapFloorParamDelete","MySpace"
1432,1392,"Редактировать линию","OA__FloorMapFloorParamUpdate","MySpace"
1433,1392,"Показать комнаты в зависимости от выбранной квартиры","OA__FloorMapFloorParamRoomShow","MySpace"
1434,1392,"Показать данные с буффера","OA__FloorMapFloorParamBufferShow","MySpace"
1435,1392,"Редактировать данные линии","OA__FloorMapFloorParamDetailUpdate","MySpace"
1436,1392,"Разблокировать/Заблокировать конструктив","OA__FloorMapFloorParamTypeBlock","MySpace"
1437,1392,"Показать все данные с буффер","OA__FloorBufferShow","MySpace"
1438,1392,"Удалить буффер","OA__FloorBufferDelete","MySpace"
1439,829,"Справочник МОП","F__FlatMop","MySpace"
1440,1392,"Показать ошибки схемы","OA__FloorMapErrorCheck","MySpace"
1441,1439,"Просмотр МОП","F__FlatMopRead","MySpace"
1442,1439,"Редактирование справочника МОП","F__FlatMopUpd","MySpace"
1443,1392,"Список конструкций по ЖК","OA__FloorMapFrame","MySpace"
1444,1443,"Просмотр конструкций","OA__FloorMapFrameRead","MySpace"
1445,1443,"Редактирование конструкций","OA__FloorMapFrameUpd","MySpace"
1447,null,"Просмотр истории номеров телефона","get_phone_hist","CRM Продаж"
1448,1392,"Смета по черновой","OA__FloorParamSmeta","MySpace"
1449,1448,"Просмотр сметы по черновым","OA__FloorParamSmetaRead","MySpace"
1450,1392,"Показать типы параметров по подъезду","OA__FloorMapFlatFloorParamTypesRead","MySpace"
1451,1392,"Заполнить переменные","OA__FloorMapFlatObjectParamFill","MySpace"
1452,1392,"Создать ремонты","OA__FloorMapFlatRemontCreate","MySpace"
1453,1392,"Пересчитать схему этажа","OA__FloorMapRecalculate","MySpace"
1455,null,"Уведомления в CRM","crm_notice","CRM Продаж"
1456,1455,"Редактирование CRM уведомлений","crm_notice_upd","CRM Продаж"
1457,1455,"Рассылка CRM уведомлений","crm_notice_send","CRM Продаж"
1458,1455,"Администратор CRM уведомлений","crm_notice_admin","CRM Продаж"
1459,null,"Форма проекта","M__ProjectForm","Мастер"
1460,1459,"Вкладки","M__ProjectFormTabulation","Мастер"
1461,1460,"Общее","M__ProjectFormInfoTab","Мастер"
1462,1461,"Общая информация","M__ProjectFormInfoBlock","Мастер"
1463,1460,"Работы","M__ProjectFormWorkTab","Мастер"
1464,1463,"Квартиры","M__ProjectFormFlatBlock","Мастер"
1465,1460,"Материалы","M__ProjectFormMaterialTab","Мастер"
1466,1465,"Материалы","M__ProjectFormMaterialBlock","Мастер"
1467,1459,"Действия","M__ProjectFormAction","Мастер"
1468,1467,"Общее","M__ProjectFormGeneralAction","Мастер"
1469,1468,"Показать список ЖК","M__ProjectFormGeneralResidentShow","Мастер"
1470,1468,"Показать список подъездов","M__ProjectFormGeneralEntranceShow","Мастер"
